sim TrigNum Period Date Target Actual Status
500 1 117 20231125 0.030000 0.030059 PASS
500 1 118 20231225 0.030000 0.030054 PASS
500 1 119 20240125 0.030000 0.030049 PASS
501 1 2 20140425 0.030000 0.030000 PASS
501 1 3 20140525 0.030000 0.029999 FAIL
501 1 4 20140625 0.030000 0.030133 PASS
501 1 5 20140725 0.030000 0.030132 PASS
501 1 6 20140825 0.030000 0.030131 PASS
501 1 7 20140925 0.030000 0.030130 PASS
501 1 8 20141025 0.030000 0.030129 PASS
501 1 9 20141125 0.030000 0.030127 PASS
501 1 10 20141225 0.030000 0.030126 PASS
501 1 11 20150125 0.030000 0.030124 PASS
501 1 12 20150225 0.030000 0.030122 PASS
501 1 13 20150325 0.030000 0.030119 PASS
501 1 14 20150425 0.030000 0.030117 PASS
501 1 15 20150525 0.030000 0.030114 PASS
501 1 16 20150625 0.030000 0.030111 PASS
501 1 17 20150725 0.030000 0.030108 PASS
501 1 18 20150825 0.030000 0.030104 PASS
501 1 19 20150925 0.030000 0.030100 PASS
501 1 20 20151025 0.030000 0.030096 PASS
501 1 21 20151125 0.030000 0.030090 PASS
501 1 22 20151225 0.030000 0.030084 PASS
501 1 23 20160125 0.030000 0.030075 PASS
501 1 24 20160225 0.030000 0.030065 PASS
501 1 25 20160325 0.030000 0.030053 PASS
501 1 26 20160425 0.030000 0.030040 PASS
501 1 27 20160525 0.030000 0.030024 PASS
501 1 28 20160625 0.030000 0.030005 PASS
501 1 29 20160725 0.030000 0.029983 FAIL
501 1 30 20160825 0.030000 0.030155 PASS
501 1 31 20160925 0.030000 0.030124 PASS
501 1 32 20161025 0.030000 0.030086 PASS
501 1 33 20161125 0.030000 0.030038 PASS
501 1 34 20161225 0.030000 0.029981 FAIL
501 1 35 20170125 0.030000 0.030060 PASS
501 1 36 20170225 0.030000 0.029982 FAIL
501 1 37 20170325 0.030000 0.030011 PASS
501 1 38 20170425 0.030000 0.029914 FAIL
501 1 39 20170525 0.030000 0.029989 FAIL
501 1 40 20170625 0.030000 0.030026 PASS
501 1 41 20170725 0.030000 0.029734 FAIL
501 1 42 20170825 0.030000 0.029628 FAIL
501 1 43 20170925 0.030000 0.029504 FAIL
501 1 44 20171025 0.030000 0.029400 FAIL
501 1 45 20171125 0.030000 0.029252 FAIL
501 1 46 20171225 0.030000 0.029130 FAIL
501 1 47 20180125 0.030000 0.029013 FAIL
501 1 48 20180225 0.030000 0.028896 FAIL
501 1 49 20180325 0.030000 0.028557 FAIL
501 1 50 20180425 0.030000 0.028224 FAIL
