sim month Balance SchedPrincipal UnschedPrincipal Liquidated
0 96 11496278419.11 30889856.43 56467042.62 980218.42
0 97 11387651792.02 30831875.27 77794751.82 987506.24
0 98 11286159553.97 30715321.84 70776916.21 994914.42
0 99 11175391227.84 30616392.53 80151933.60 950495.81
0 100 11059505330.55 30490459.87 85395437.41 913673.82
0 101 10955925364.11 30348548.33 73231418.11 857889.03
0 102 10846238623.40 30238348.98 79448391.73 831042.04
0 103 10755722260.49 30109378.86 60406984.05 806571.98
0 104 10672656628.39 30031904.67 53033727.43 783215.00
0 105 10594076304.53 29973895.40 48606428.46 769600.35
0 106 10521027953.92 29927180.46 43121170.15 815418.55
0 107 10460648279.24 29895440.16 30484234.52 743837.28
0 108 10391900307.10 29898849.80 38849122.34 727292.62
0 109 10307110465.22 29877708.05 54912133.82 709997.22
0 110 10229194141.94 29809380.92 48106942.37 693693.04
0 111 10138112729.25 29759646.07 61321766.63 697840.07
0 112 10043510019.92 29670252.95 64932456.38 701526.38
0 113 9956926656.97 29568887.17 57014475.78 705533.26
0 114 9864858259.13 29489605.73 62578792.11 681766.07
0 115 9789565748.15 29392485.93 45900025.04 659969.61
0 116 9714733958.92 29343945.81 45487843.43 638906.63
0 117 9644591079.30 29295598.70 40847280.92 642234.16
0 118 0.00 29260354.33 9615330724.96 645782.02
1 0 29040913330.15 0.00 0.00 0.00
1 1 28872982258.95 47655167.23 120275903.98 369246.90
1 2 28694212288.43 47600831.31 131169139.21 384085.71
1 3 28498710553.29 47527345.53 147974389.61 409473.85
1 4 28290673132.60 47424653.20 160612767.48 436613.37
1 5 28076762120.09 47299363.41 166611649.10 465717.41
1 6 27874104007.68 47162345.99 155495766.42 502014.55
1 7 27692752504.72 47042354.49 134309148.47 541093.71
1 8 27513083228.49 46956690.82 132712585.41 579781.89
1 9 27361799189.72 46872396.76 104411642.01 628841.52
1 10 27211348594.97 46835224.26 103615370.48 677672.34
1 11 27094002231.03 46798458.66 70547905.29 729394.84
1 12 26958395422.30 46817854.92 88788953.81 795165.55
1 13 26793911669.03 46805051.06 117678702.20 866492.57
1 14 26632983532.46 46741067.54 114187069.03 943088.00
1 15 26467595541.88 46682070.56 118705920.02 998063.98
1 16 26285364784.35 46613975.01 135616782.53 1056556.79
